MSOA11CD,Phase2_ends2029_accumulated_growth_pro_rata_3000_per_year
E02003490,314
E02003489,1351
E02003488,1965
E02003487,152
E02003486,494
E02003485,539
E02003484,282
E02003483,592
E02003482,1329
E02003481,4536
E02003480,2234
E02003479,1057
E02003478,2254
E02003477,1746
E02003476,2558
E02003475,6825
E02003474,280
E02003473,1691
E02003472,13534
E02003471,617
E02003470,713
E02003469,101
E02003468,2633
E02003467,2303
E02003466,811
E02003465,2400
E02003464,213
E02003463,1079
E02003462,1423
E02003461,223
E02003649,293
E02003258,528
E02003259,1073
E02003260,245
E02003261,189
E02003262,592
E02003263,460
E02003264,386
E02003265,512
E02003266,436
E02003267,436
E02003268,602
E02003269,502
E02003270,1195
E02003271,3989
E02003272,1013
E02003273,570
E02003274,521
E02003275,4891
E02003276,1367
E02003277,208
E02003278,3195
E02003642,169
E02003644,1511
E02003645,1260
E02003646,449
E02003647,1386
E02003648,148
E02003620,501
E02003621,280
E02003622,2055
E02003623,510
E02003624,1362
E02003625,2960
E02003626,1095
E02003627,5566
E02003628,428
E02003629,3733
E02003630,4366
E02003631,720
E02003632,590
E02003633,3958
E02005940,2705
E02005941,4562
E02005942,4381
E02005943,944
E02005944,923
E02005945,22941
E02005946,2960
E02005947,47392
E02005948,11551
E02005949,11347
E02005950,6455
E02005951,981
E02005952,24715
E02005953,1471
E02005954,11586
E02005955,9541
E02005956,3208
E02005957,1088
E02003728,0
E02003729,0
E02003730,0
E02003731,0
E02003719,0
E02003720,0
E02003721,0
E02003722,0
E02003723,0
E02003724,0
E02003725,0
E02003726,0
E02003727,0
E02005677,4026
E02005678,915
E02005679,472
E02005680,126
E02005650,328
E02005651,1937
E02005652,134
E02005653,526
E02005654,41
E02005655,271
E02005656,319
E02005657,371
E02005658,104
E02005659,36
E02005660,408
E02005661,87
E02005662,189
E02005663,32
E02005664,335
E02005665,126
E02005666,368
E02005667,654
E02005668,142
E02005669,51
E02005670,1573
E02005671,354
E02005672,541
E02005673,847
E02005674,3088
E02005675,150
E02005676,198
E02003250,0
E02003251,0
E02003252,0
E02003253,0
E02003255,0
E02003257,0
E02006877,0
E02003238,0
E02003242,0
E02006878,0
E02003243,0
E02003244,0
E02003245,0
E02003246,0
E02003247,0
E02003248,0
E02003249,0
